iter	MultiClass
0	1.443668923
1	1.335318635
2	1.251009007
3	1.186118359
4	1.133298928
5	1.091569557
6	1.056435648
7	1.022622182
8	0.9949269834
9	0.9709234547
10	0.9509074663
11	0.9333535021
12	0.9183619688
13	0.9049405906
14	0.8929573431
15	0.8811397654
16	0.8710005424
17	0.8627381354
18	0.8557159892
19	0.8479957734
20	0.8413887978
21	0.8373139512
22	0.8321333108
23	0.826654977
24	0.8233104616
25	0.8189915656
26	0.8154614495
27	0.8119799403
28	0.808929013
29	0.8063634867
30	0.8028018911
31	0.8000680059
32	0.7981453513
33	0.7960080332
34	0.7936408092
35	0.7918698855
36	0.7902622224
37	0.7886968463
38	0.787735558
39	0.7864201191
40	0.7852248085
41	0.784217976
42	0.7833346715
43	0.782333245
44	0.7810526672
45	0.7802062506
46	0.7794982592
47	0.778789931
48	0.7780303649
49	0.7770228806
50	0.7759665275
51	0.7751143096
52	0.7745887612
53	0.7742179585
54	0.7735523356
55	0.7723334723
56	0.7720365869
57	0.7716341036
58	0.7712411926
59	0.770978626
60	0.7707244145
61	0.7700822366
62	0.7688494802
63	0.7681733084
64	0.7677785828
65	0.7676134259
66	0.7670136626
67	0.7662049456
68	0.7660280937
69	0.7655928129
70	0.7652103761
71	0.7649203932
72	0.7644987676
73	0.7637369909
74	0.7630538815
75	0.7628310358
76	0.7625118999
77	0.7617713316
78	0.7614921603
79	0.761198062
80	0.7608395219
81	0.760493045
82	0.7597367577
83	0.7593355933
84	0.7590885263
85	0.7588531513
86	0.758548135
87	0.7582565415
88	0.7579831067
89	0.7577761118
90	0.7574360502
91	0.757205406
92	0.7570500516
93	0.7565901927
94	0.7562816072
95	0.7555749165
96	0.7554158347
97	0.7551492241
98	0.7548464818
99	0.7546820442
