iter	Passed	Remaining
0	954	94503
1	1887	92500
2	3267	105647
3	4582	109989
4	5903	112175
5	6518	102126
6	7081	94076
7	7568	87039
8	8041	81306
9	8645	77806
10	9248	74831
11	9984	73219
12	11306	75666
13	12775	78478
14	13946	79032
15	14823	77824
16	15471	75537
17	16005	72913
18	16461	70176
19	16957	67829
20	17557	66049
21	18241	64674
22	19073	63855
23	20636	65347
24	21829	65487
25	23065	65648
26	23712	64111
27	24248	62353
28	24747	60589
29	25145	58672
30	25550	56871
31	26120	55505
32	26628	54062
33	27313	53021
34	28352	52654
35	29903	53161
36	30952	52702
37	32079	52340
38	32691	51133
39	33213	49819
40	33650	48424
41	34107	47100
42	34599	45864
43	35113	44689
44	35860	43828
45	36707	43091
46	38007	42859
47	38929	42173
48	40097	41733
49	40943	40943
50	41539	39910
51	42023	38791
52	42457	37650
53	42909	36552
54	43453	35553
55	44195	34725
56	45010	33955
57	46250	33491
58	47605	33082
59	48567	32378
60	49245	31484
61	49840	30547
62	50340	29565
63	50734	28537
64	51214	27576
65	51705	26636
66	52352	25785
67	53002	24942
68	54323	24406
69	55582	23821
70	56729	23171
71	57459	22345
72	57970	21441
73	58474	20545
74	58935	19645
75	59404	18759
76	59927	17900
77	60603	17093
78	61348	16307
79	62417	15604
80	63672	14935
81	65089	14287
82	65925	13502
83	66425	12652
84	66835	11794
85	67248	10947
86	67618	10103
87	68152	9293
88	68745	8496
89	69453	7717
90	70581	6980
91	71854	6248
92	72903	5487
93	73627	4699
94	74216	3906
95	74758	3114
96	75107	2322
97	75533	1541
98	75943	767
99	76515	0
